Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile range,Quartile number,Suppression Flag
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Colorado,Colorado,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.1,0.6,1.9,0.6 - 1.9,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Connecticut,Connecticut,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.1,0.5,2.3,0.5 - 2.3,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Delaware,Delaware,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.8,1.5,4.9,1.5 - 4.9,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,District of Columbia,District of Columbia,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.2,4.5,0.2 - 4.5,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Florida,Florida,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.1,1,3.9,1.0 - 3.9,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Georgia,Georgia,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.2,0.9,4.6,0.9 - 4.6,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Hawaii,Hawaii,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.5,0.4,3.8,0.4 - 3.8,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Idaho,Idaho,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,3,1.6,5.1,1.6 - 5.1,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Illinois,Illinois,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.6,0.8,2.8,0.8 - 2.8,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Indiana,Indiana,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.1,0.8,4.6,0.8 - 4.6,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Iowa,Iowa,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.1,0.5,1.9,0.5 - 1.9,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Kansas,Kansas,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,0.8,0.4,1.6,0.4 - 1.6,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Kentucky,Kentucky,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1,0.4,2,0.4 - 2.0,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Louisiana,Louisiana,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.4,2.8,0.4 - 2.8,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Maine,Maine,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1,0.4,2.1,0.4 - 2.1,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Maryland,Maryland,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.5,0.6,3.1,0.6 - 3.1,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Massachusetts,Massachusetts,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.8,0.9,3,0.9 - 3.0,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Michigan,Michigan,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.4,0.7,2.4,0.7 - 2.4,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Minnesota,Minnesota,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.5,0.7,2.8,0.7 - 2.8,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Mississippi,Mississippi,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.2,0.5,2.2,0.5 - 2.2,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Missouri,Missouri,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.4,0.7,2.5,0.7 - 2.5,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Montana,Montana,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.4,1.4,3.9,1.4 - 3.9,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Nebraska,Nebraska,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.9,0.9,3.5,0.9 - 3.5,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Nevada,Nevada,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.4,3.1,0.4 - 3.1,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,New Hampshire,New Hampshire,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.9,0.8,3.8,0.8 - 3.8,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,New Jersey,New Jersey,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2,0.9,3.7,0.9 - 3.7,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,New Mexico,New Mexico,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.5,0.9,2.5,0.9 - 2.5,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,New York,New York,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.1,0.5,2.2,0.5 - 2.2,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,North Carolina,North Carolina,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.7,2.2,0.7 - 2.2,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,North Dakota,North Dakota,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1,0.4,2,0.4 - 2.0,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Ohio,Ohio,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.6,2.6,0.6 - 2.6,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Oklahoma,Oklahoma,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.2,1,4.1,1.0 - 4.1,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Oregon,Oregon,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.6,0.9,2.8,0.9 - 2.8,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Pennsylvania,Pennsylvania,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.5,0.7,3,0.7 - 3.0,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Rhode Island,Rhode Island,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,,,,,Estimate not reliable,-1,1
"Significant activity limitations from long COVID, as a percentage of all adults",By State,South Carolina,South Carolina,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2,0.9,3.8,0.9 - 3.8,1.6-2.1,3,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,South Dakota,South Dakota,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.6,2.3,0.6 - 2.3,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Tennessee,Tennessee,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.6,2.3,0.6 - 2.3,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Texas,Texas,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.4,0.7,2.5,0.7 - 2.5,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Utah,Utah,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.5,0.7,2.6,0.7 - 2.6,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Vermont,Vermont,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.4,0.4,3.7,0.4 - 3.7,1.4-1.5,2,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Virginia,Virginia,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,0.9,0.4,1.7,0.4 - 1.7,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Washington,Washington,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,1.3,0.9,2,0.9 - 2.0,0.8-1.3,1,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,West Virginia,West Virginia,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.4,0.8,5.5,0.8 - 5.5,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Wisconsin,Wisconsin,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.5,1.1,4.7,1.1 - 4.7,2.2-3.3,4,
"Significant activity limitations from long COVID, as a percentage of all adults",By State,Wyoming,Wyoming,3.6,51,"Nov 2 - Nov 14, 2022",11/02/2022,11/14/2022,2.4,1.1,4.6,1.1 - 4.6,2.2-3.3,4,
"Ever experienced long COVID, as a percentage of all adults",National Estimate,United States,United States,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,18 - 29 years,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,30 - 39 years,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,40 - 49 years,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,50 - 59 years,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,60 - 69 years,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,70 - 79 years,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,80 years and above,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Male,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Female,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender male,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender female,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Transgender,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Gay or lesbian,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Straight,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Bisexual,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,Hispanic or Latino,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Less than a high school diploma,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,High school diploma or GED,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Some college/Associate's degree,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Bachelor's degree or higher,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,With disability,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,Without disability,-1,1,"Nov 30 - Dec 8, 2022",11/30/2022,12/08/2022,,,,,,,
"Ever experienced long COVID, as a percentage of all adults",National Estimate,United States,United States,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.4,13.9,14.9,13.9 - 14.9,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,18 - 29 years,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.1,13.6,16.8,13.6 - 16.8,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,30 - 39 years,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.3,15,17.6,15.0 - 17.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,40 - 49 years,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,18.7,17.5,20,17.5 - 20.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,50 - 59 years,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.4,14.3,16.6,14.3 - 16.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,60 - 69 years,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,11.1,10.1,12.1,10.1 - 12.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,70 - 79 years,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,7.9,6.8,9,6.8 - 9.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,80 years and above,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,8,5.4,11.2,5.4 - 11.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Male,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,11.1,10.5,11.7,10.5 - 11.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Female,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.5,16.9,18.1,16.9 - 18.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender male,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,11,10.3,11.6,10.3 - 11.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender female,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.5,16.9,18.1,16.9 - 18.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Transgender,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,26.6,16.9,38.3,16.9 - 38.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Gay or lesbian,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.3,12.8,18.2,12.8 - 18.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Straight,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.9,13.4,14.4,13.4 - 14.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Bisexual,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,21.8,18.8,25.1,18.8 - 25.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.8,16.1,19.5,16.1 - 19.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.8,13.4,14.3,13.4 - 14.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.8,11.3,14.5,11.3 - 14.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,11,9,13.3,9.0 - 13.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.9,14.8,19.1,14.8 - 19.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Less than a high school diploma,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.1,14.5,20,14.5 - 20.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,High school diploma or GED,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.1,12.9,15.4,12.9 - 15.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Some college/Associate's degree,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.5,15.7,17.3,15.7 - 17.3,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Bachelor's degree or higher,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.1,11.6,12.7,11.6 - 12.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,With disability,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,21.9,20.3,23.5,20.3 - 23.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,Without disability,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.1,12.6,13.7,12.6 - 13.7,,,
"Ever experienced long COVID, as a percentage of all adults",By State,Alabama,Alabama,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.6,12.6,18.9,12.6 - 18.9,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Alaska,Alaska,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.5,14.8,20.4,14.8 - 20.4,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Arizona,Arizona,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17,14.2,20,14.2 - 20.0,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Arkansas,Arkansas,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.9,13.5,20.7,13.5 - 20.7,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,California,California,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15,13.1,17,13.1 - 17.0,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Colorado,Colorado,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.6,14.3,19.1,14.3 - 19.1,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Connecticut,Connecticut,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,11.8,9.2,14.8,9.2 - 14.8,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Delaware,Delaware,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.4,8.9,16.6,8.9 - 16.6,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,District of Columbia,District of Columbia,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.4,8.3,17.5,8.3 - 17.5,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Florida,Florida,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14,11.4,16.9,11.4 - 16.9,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Georgia,Georgia,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.7,12,17.7,12.0 - 17.7,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Hawaii,Hawaii,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.1,10.3,18.8,10.3 - 18.8,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Idaho,Idaho,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15,12.5,17.9,12.5 - 17.9,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Illinois,Illinois,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.7,12.6,17.1,12.6 - 17.1,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Indiana,Indiana,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.1,11.9,16.7,11.9 - 16.7,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Iowa,Iowa,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.8,13,19,13.0 - 19.0,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Kansas,Kansas,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.2,13.6,19.2,13.6 - 19.2,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Kentucky,Kentucky,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.7,14.2,21.7,14.2 - 21.7,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Louisiana,Louisiana,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.6,12.3,19.4,12.3 - 19.4,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Maine,Maine,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.1,9.9,16.8,9.9 - 16.8,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Maryland,Maryland,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,11.9,9.6,14.5,9.6 - 14.5,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Massachusetts,Massachusetts,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.9,10.5,15.7,10.5 - 15.7,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Michigan,Michigan,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.1,13.9,18.4,13.9 - 18.4,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Minnesota,Minnesota,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.1,10.2,16.4,10.2 - 16.4,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Mississippi,Mississippi,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,17.8,15.3,20.6,15.3 - 20.6,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Missouri,Missouri,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.1,12.2,18.5,12.2 - 18.5,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Montana,Montana,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,19.6,16,23.7,16.0 - 23.7,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Nebraska,Nebraska,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.1,10.9,15.6,10.9 - 15.6,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Nevada,Nevada,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,13.5,10,17.5,10.0 - 17.5,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,New Hampshire,New Hampshire,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.4,12.4,18.9,12.4 - 18.9,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,New Jersey,New Jersey,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.3,9.6,15.4,9.6 - 15.4,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,New Mexico,New Mexico,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,16.3,12.8,20.3,12.8 - 20.3,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,New York,New York,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.8,10.4,15.5,10.4 - 15.5,10.0-12.9,1,
"Ever experienced long COVID, as a percentage of all adults",By State,North Carolina,North Carolina,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,14.7,11.2,18.7,11.2 - 18.7,13.0-14.7,2,
"Ever experienced long COVID, as a percentage of all adults",By State,North Dakota,North Dakota,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,15.8,11.8,20.5,11.8 - 20.5,14.8-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Ohio,Ohio,3.7,52,"Dec 9 - Dec 19, 2022",12/09/2022,12/19/2022,12.4,9.6,15.5,9.6 - 15.5,10.0-12.9,1,
